$ 3 4 b c 3 4 b c , 4 b a c d 3 , 0 8
$ 5 a d 2 5 a d 2 , 6 0 9 5 a f , 0 8
$ c 3 4 b c 3 4 b , b d 0 e 7 0 , 0 8
$ b 9 3 1 b 9 3 1 , c 8 e 1 9 0 , 0 8
$ 8 2 0 a 8 2 0 a , 8 c f 1 f f , 0 8
$ d 7 5 f d 7 5 f , 4 e a 1 3 8 , 0 8
$ 4 5 c d 4 5 c d , 5 c 4 9 5 0 , 0 8
$ c 8 4 0 c 8 4 0 , b b 0 e 7 d , 0 8
$ 1 3 9 b 1 3 9 b , 0 3 9 1 8 1 , 0 8
$ 9 a 1 2 9 a 1 2 , e 3 7 c 0 5 , 0 8
$ 0 c 8 4 0 c 8 4 , 6 f 9 f f c , 0 8
$ 8 7 0 f 8 7 0 f , 3 3 3 1 8 5 , 0 8
$ 1 3 9 b 1 3 9 b , b 6 2 e 8 b , 0 8
$ 1 6 9 e 1 6 9 e , 9 1 e 4 6 3 , 0 8
$ b 6 3 e b 6 3 e , 3 3 8 1 0 4 , 0 8
$ 7 6 f e 7 6 f e , 5 1 a d 8 a , 0 8
$ 3 6 b e 3 6 b e , e d 3 6 e d , 0 8
$ 2 4 a c 2 4 a c , a 3 1 c 9 b , 0 8
$ b 8 3 0 b 8 3 0 , d 4 f f 9 3 , 0 8
$ 7 9 f 1 7 9 f 1 , 4 e b 4 8 3 , 0 8
$ a e 2 6 a e 2 6 , 1 d a 5 1 6 , 0 8
$ 9 4 1 c 9 4 1 c , 4 a f b 2 5 , 0 8
$ 8 2 0 a 8 2 0 a , e 0 7 3 1 1 , 0 8
$ d 4 5 c d 4 5 c , 0 7 a 5 7 6 , 0 8
$ a f 2 7 a f 2 7 , 8 8 9 3 b 4 , 0 8
$ a 6 2 e a 6 2 e , 9 0 7 f 4 9 , 0 8
$ d 2 5 a d 2 5 a , e 6 b 7 8 3 , 0 8
$ e b 6 3 e b 6 3 , 7 1 0 1 9 b , 0 8
$ f 2 7 a f 2 7 a , 0 a 9 e 6 6 , 0 8
$ f e 7 6 f e 7 6 , e 9 f 7 e 0 , 0 8
$ 2 4 a c 2 4 a c , 6 e 4 4 0 e , 0 8
$ 8 c 0 4 8 c 0 4 , a e 2 7 0 5 , 0 8
